faq_id,question,answer
672a4264b157f53c7e4969ac,Làm thế nào để sử dụng xu?,"Hiện tại chưa thể sử dụng xu trong app, nhưng tương lai có thể xu sẽ được sử dụng để đổi voucher, thanh tóan hoá đơn"
672b5e4ce080519c2b32798c,Tôi muốn gửi ý kiến phản hồi đến ứng dụng,"Hiện tại, chúng tôi hỗ trợ liên hợ qua email 0950080127@sv.hcumre.edu.vn, sau khi tiếp nhận ý kiến phản hồi của bạn, chúng tôi sẽ tiếp nhận và xử lí trong 3 ngày làm việc"
672b5fede080519c2b327a40,Cách nhận xu?,"Hiện tại, trong ứng dụng có 2 cách kiếm xu như: điểm danh hằng ngày, vòng quay may mắn"
672b60dae080519c2b327aa3,Chợ sinh viên hiện đang có những phương thức thanh toán nào,"Hiện nay, chợ sinh viên đang hỗ trợ 2 phương thức thanh toán là Momo, và tiền mặt và trong tương lai sẽ có thêm những phương thức thanh toán khác, bạn tuyệt đối không sử dụng các phương thức thanh toán khác"
672b618be080519c2b327ae0,Cách đăng nhập Chợ sinh viên khi quên mật khẩu?,"Bạn có thể đăng nhập với tài khoản gmail (với trường hợp đã liên kết gmail), nếu như chưa liên kết, bạn không thể đăng nhập, bạn có thể lấy lại mật khẩu ở màn hình đăng nhập"
673210863b067acede61468b,"Tôi có thể tìm được mã giảm giá, voucher ở đâu?","Tại mục ""Đặc biệt""->""Voucher"", tại đây những voucher có sẵn sẽ hiện ra, bạn có thể chọn những voucher có sẵn ở đây "
673211043b067acede6146bd,Cách nhắn tin/chat trên ứng dụng,"Tính năng Chat là một tính năng cho phép khách hàng có thể:
Liên hệ trực tiếp với Người bán nhằm mục đích tìm hiểu thêm các thông tin liên quan đến sản phẩm, thương hiệu, phương thức đặt hàng… của Shop, hoặc nhằm mục đích thương lượng Trả giá đối với các sản phẩm của Shop
Cập nhật thông tin phát sinh (nếu có) liên quan đến đơn hàng đã đặt (số lượng, màu sắc, kích thước,...) từ Người bán
  -Bạn có thể bắt đầu chat với Người bán một cách dễ dàng thông qua tính năng Chat tại trang chi tiết sản phẩm của người bán đó
Ngoài ra, bạn cũng có thể sử dụng tính năng Chat bằng cách:
  -Truy cập tính năng Chat

"
6746fd7dcc2c2df95a5d8acf,Voucher để làm gì?,"Hiện tại, trong ứng dụng chợ sinh viên, voucher dùng để giảm giá cho đơn đặt hàng của bạn"
67470d60cc2c2df95a5d9580,Ví là gì?,"Ví trong chợ sinh viên hiện tại là một trong các phương thức thanh toán, ví có thể thanh toán đơn hàng, mệnh giá vnd "
67470da7cc2c2df95a5d95a1,Có thể hoàn hàng không?,"Hiện tại, chợ sinh viên hỗ trợ hoàn hàng với lí do người dùng không muốn sử dụng nữa, và khách hàng chịu phí giao hàng cho đơn hoàn hàng"
